Order_ID,Order_Date,Promised_Delivery_Date,Actual_Delivery_Date,City,Zone,Warehouse_ID,Delivery_Agent_ID,Vendor,Product_Category,Order_Value_INR,Payment_Mode,Promised_Delivery_Days,Actual_Delivery_Days,Delay_Days,Is_Delayed,Delay_Reason,SLA_Breached,Delivery_Attempts,Month,Quarter,Is_Festive_Season,Is_Monsoon_Season
ORD100000,2024-02-27 00:47,2024-03-01,2024-03-03,Surat,West,WH_SRT_01,AGT_0008,BlueDart,Beauty,10198.99,Prepaid,3,5,2,Yes,Wrong Address,No,1,February,Q1,No,No
ORD100001,2024-04-21 07:32,2024-04-28,2024-04-30,Delhi,North,WH_DEL_01,AGT_0109,Ekart,Electronics,3423.54,COD,7,9,2,Yes,Warehouse Processing Delay,No,1,April,Q2,No,No
ORD100002,2024-05-22 04:13,2024-05-25,2024-05-29,Kolkata,East,WH_KOL_01,AGT_0138,Dunzo,Electronics,5480.84,COD,3,7,4,Yes,Wrong Address,Yes,1,May,Q2,No,No
ORD100003,2024-07-12 02:35,2024-07-15,2024-07-15,Delhi,North,WH_DEL_01,AGT_0075,XpressBees,Electronics,8723.68,Prepaid,3,3,0,No,None,No,1,July,Q3,No,Yes
ORD100004,2024-04-29 03:24,2024-05-02,2024-05-02,Delhi,North,WH_DEL_01,AGT_0044,Delhivery,Books,2565.41,COD,3,3,0,No,None,No,1,April,Q2,No,No
ORD100005,2024-05-05 05:29,2024-05-10,2024-05-16,Jaipur,North,WH_JAI_01,AGT_0081,BlueDart,Home & Kitchen,10316.52,Prepaid,5,11,6,Yes,Vehicle Breakdown,Yes,1,May,Q2,No,No
ORD100006,2024-05-17 02:13,2024-05-24,2024-05-24,Pune,West,WH_PUN_01,AGT_0068,Ekart,Toys,3307.5,COD,7,7,0,No,None,No,1,May,Q2,No,No
ORD100007,2024-05-06 23:35,2024-05-13,2024-05-18,Bangalore,South,WH_BLR_01,AGT_0024,Dunzo,Groceries,13482.67,COD,7,12,5,Yes,Warehouse Processing Delay,Yes,1,May,Q2,No,No
ORD100008,2024-01-25 03:09,2024-01-27,2024-01-27,Patna,East,WH_PAT_01,AGT_0142,DTDC,Toys,9006.67,COD,2,2,0,No,None,No,1,January,Q1,No,No
ORD100009,2024-01-06 21:46,2024-01-07,2024-01-07,Bhopal,Central,WH_BHO_01,AGT_0001,Dunzo,Groceries,11563.69,COD,1,3,2,Yes,None,No,1,January,Q1,No,No
ORD100010,2024-05-14 16:48,2024-05-16,2024-05-15,Nagpur,Central,WH_NGP_01,AGT_0096,Ekart,Home & Kitchen,13077.2,COD,2,2,0,No,None,No,1,May,Q2,No,No
ORD100011,2024-03-23 17:49,2024-03-30,2024-03-30,Patna,East,WH_PAT_01,AGT_0062,DTDC,Sports,7405.79,Prepaid,7,7,0,No,None,No,1,March,Q1,No,No
ORD100012,2024-05-03 18:05,2024-05-04,2024-05-03,Mumbai,West,WH_MUM_01,AGT_0141,Dunzo,Groceries,14673.07,Prepaid,1,1,0,No,None,No,1,May,Q2,No,No
ORD100013,2024-05-15 16:55,2024-05-22,2024-05-21,Bangalore,South,WH_BLR_01,AGT_0096,Ecom Express,Books,13944.37,Prepaid,7,7,0,No,None,No,1,May,Q2,No,No
ORD100014,2024-09-21 14:07,2024-09-23,2024-09-26,Ahmedabad,West,WH_AMD_01,AGT_0019,BlueDart,Home & Kitchen,8886.38,Prepaid,2,5,3,Yes,Traffic Congestion,Yes,1,September,Q3,No,Yes
ORD100015,2024-11-19 01:14,2024-11-20,2024-11-20,Nagpur,Central,WH_NGP_01,AGT_0055,Dunzo,Books,1202.23,Prepaid,1,1,0,No,None,No,1,November,Q4,Yes,No
ORD100016,2024-03-08 23:59,2024-03-15,2024-03-14,Jaipur,North,WH_JAI_01,AGT_0091,Ecom Express,Fashion,11801.6,COD,7,7,0,No,None,No,1,March,Q1,No,No
ORD100017,2024-07-29 14:55,2024-07-30,2024-07-29,Pune,West,WH_PUN_01,AGT_0050,XpressBees,Fashion,1050.1,COD,1,1,0,No,None,No,1,July,Q3,No,Yes
ORD100018,2024-10-01 14:08,2024-10-06,2024-10-10,Hyderabad,South,WH_HYD_01,AGT_0013,Delhivery,Toys,13136.12,Prepaid,5,9,4,Yes,Vehicle Breakdown,Yes,1,October,Q4,Yes,No
ORD100019,2024-10-03 00:05,2024-10-05,2024-10-09,Surat,West,WH_SRT_01,AGT_0001,Ecom Express,Groceries,3324.15,COD,2,6,4,Yes,Route Optimization Failure,Yes,1,October,Q4,Yes,No
ORD100020,2024-05-15 14:18,2024-05-20,2024-05-20,Pune,West,WH_PUN_01,AGT_0081,BlueDart,Electronics,2448.73,COD,5,5,0,No,None,No,1,May,Q2,No,No
ORD100021,2024-01-26 18:30,2024-02-02,2024-02-01,Mumbai,West,WH_MUM_01,AGT_0018,Delhivery,Groceries,994.66,Prepaid,7,7,0,No,None,No,1,January,Q1,No,No
ORD100022,2024-04-30 12:07,2024-05-07,2024-05-12,Surat,West,WH_SRT_01,AGT_0053,DTDC,Sports,9347.82,COD,7,12,5,Yes,Traffic Congestion,Yes,1,April,Q2,No,No
ORD100023,2024-06-09 07:16,2024-06-14,2024-06-20,Surat,West,WH_SRT_01,AGT_0145,Dunzo,Electronics,6939.78,Prepaid,5,11,6,Yes,Weather Conditions,Yes,1,June,Q2,No,Yes
ORD100024,2024-02-07 17:13,2024-02-14,2024-02-17,Delhi,North,WH_DEL_01,AGT_0136,DTDC,Toys,13207.16,COD,7,10,3,Yes,Wrong Address,Yes,1,February,Q1,No,No
ORD100025,2024-12-07 17:19,2024-12-08,2024-12-07,Mumbai,West,WH_MUM_01,AGT_0073,DTDC,Groceries,4077.32,Prepaid,1,1,0,No,None,No,1,December,Q4,No,No
ORD100026,2024-04-17 22:21,2024-04-19,2024-04-19,Lucknow,North,WH_LKO_01,AGT_0109,Delhivery,Electronics,7655.32,COD,2,2,0,No,None,No,1,April,Q2,No,No
ORD100027,2024-05-21 01:00,2024-05-24,2024-05-24,Bhopal,Central,WH_BHO_01,AGT_0029,BlueDart,Beauty,2549.49,COD,3,3,0,No,None,No,1,May,Q2,No,No
ORD100028,2024-12-19 04:34,2024-12-20,2024-12-19,Delhi,North,WH_DEL_01,AGT_0011,Shadowfax,Books,6532.33,Prepaid,1,1,0,No,None,No,1,December,Q4,No,No
ORD100029,2024-07-02 06:43,2024-07-04,2024-07-04,Indore,Central,WH_IND_01,AGT_0042,XpressBees,Groceries,11734.73,COD,2,2,0,No,None,No,1,July,Q3,No,Yes
ORD100030,2024-03-31 13:01,2024-04-02,2024-04-02,Patna,East,WH_PAT_01,AGT_0041,DTDC,Home & Kitchen,11768.44,COD,2,2,0,No,None,No,1,March,Q1,No,No
ORD100031,2024-12-25 03:24,2024-12-26,2024-12-25,Patna,East,WH_PAT_01,AGT_0007,XpressBees,Home & Kitchen,3113.66,COD,1,1,0,No,None,No,1,December,Q4,No,No
ORD100032,2024-04-08 12:21,2024-04-11,2024-04-11,Surat,West,WH_SRT_01,AGT_0030,BlueDart,Sports,5364.52,COD,3,3,0,No,None,No,1,April,Q2,No,No
ORD100033,2024-05-13 05:37,2024-05-16,2024-05-21,Indore,Central,WH_IND_01,AGT_0148,Ecom Express,Fashion,5283.45,COD,3,8,5,Yes,Warehouse Processing Delay,Yes,1,May,Q2,No,No
ORD100034,2024-05-10 01:45,2024-05-15,2024-05-22,Hyderabad,South,WH_HYD_01,AGT_0032,Shadowfax,Sports,5558.69,Prepaid,5,12,7,Yes,Vehicle Breakdown,Yes,1,May,Q2,No,No
ORD100035,2024-06-02 16:19,2024-06-07,2024-06-13,Nagpur,Central,WH_NGP_01,AGT_0045,Ecom Express,Beauty,8383.03,Prepaid,5,11,6,Yes,Weather Conditions,Yes,1,June,Q2,No,Yes
ORD100036,2024-10-18 09:25,2024-10-25,2024-10-25,Lucknow,North,WH_LKO_01,AGT_0114,Dunzo,Sports,4410.67,COD,7,7,0,No,None,No,1,October,Q4,Yes,No
ORD100037,2024-12-11 06:32,2024-12-16,2024-12-15,Ahmedabad,West,WH_AMD_01,AGT_0061,Delhivery,Sports,9933.93,COD,5,5,0,No,None,No,1,December,Q4,No,No
ORD100038,2024-06-07 07:51,2024-06-09,2024-06-10,Surat,West,WH_SRT_01,AGT_0148,Ecom Express,Toys,14761.45,Prepaid,2,3,1,Yes,Vehicle Breakdown,No,1,June,Q2,No,Yes
