Order_ID,Order_Date,Promised_Delivery_Date,Actual_Delivery_Date,City,Zone,Warehouse_ID,Delivery_Agent_ID,Vendor,Product_Category,Order_Value_INR,Payment_Mode,Promised_Delivery_Days,Actual_Delivery_Days,Delay_Days,Delay_Category,Is_Delayed,Delay_Reason,SLA_Breached,Delivery_Attempts,Month,Quarter,Is_Festive_Season,Is_Monsoon_Season
ORD100000,27-02-2024,01-03-2024,03-03-2024,Surat,West,WH_SRT_01,AGT_0008,BlueDart,Beauty,10198.99,Prepaid,3,5,2,Minor Delay,Yes,Wrong Address,No,1,February,Q1,No,No
ORD100001,21-04-2024,28-04-2024,30-04-2024,Delhi,North,WH_DEL_01,AGT_0109,Ekart,Electronics,3423.54,COD,7,9,2,Minor Delay,Yes,Warehouse Processing Delay,No,1,April,Q2,No,No
ORD100002,22-05-2024,25-05-2024,29-05-2024,Kolkata,East,WH_KOL_01,AGT_0138,Dunzo,Electronics,5480.84,COD,3,7,4,Moderate Delay,Yes,Wrong Address,Yes,1,May,Q2,No,No
ORD100003,12-07-2024,15-07-2024,15-07-2024,Delhi,North,WH_DEL_01,AGT_0075,XpressBees,Electronics,8723.68,Prepaid,3,3,0,On Time,No,None,No,1,July,Q3,No,Yes
ORD100004,29-04-2024,02-05-2024,02-05-2024,Delhi,North,WH_DEL_01,AGT_0044,Delhivery,Books,2565.41,COD,3,3,0,On Time,No,None,No,1,April,Q2,No,No
ORD100005,05-05-2024,10-05-2024,16-05-2024,Jaipur,North,WH_JAI_01,AGT_0081,BlueDart,Home & Kitchen,10316.52,Prepaid,5,11,6,Severe Delay,Yes,Vehicle Breakdown,Yes,1,May,Q2,No,No
ORD100006,17-05-2024,24-05-2024,24-05-2024,Pune,West,WH_PUN_01,AGT_0068,Ekart,Toys,3307.5,COD,7,7,0,On Time,No,None,No,1,May,Q2,No,No
ORD100007,06-05-2024,13-05-2024,18-05-2024,Bangalore,South,WH_BLR_01,AGT_0024,Dunzo,Groceries,13482.67,COD,7,12,5,Moderate Delay,Yes,Warehouse Processing Delay,Yes,1,May,Q2,No,No
ORD100008,25-01-2024,27-01-2024,27-01-2024,Patna,East,WH_PAT_01,AGT_0142,DTDC,Toys,9006.67,COD,2,2,0,On Time,No,None,No,1,January,Q1,No,No
ORD100009,06-01-2024,07-01-2024,07-01-2024,Bhopal,Central,WH_BHO_01,AGT_0001,Dunzo,Groceries,11563.69,COD,1,3,2,Minor Delay,Yes,None,No,1,January,Q1,No,No
ORD100010,14-05-2024,16-05-2024,15-05-2024,Nagpur,Central,WH_NGP_01,AGT_0096,Ekart,Home & Kitchen,13077.2,COD,2,2,0,On Time,No,None,No,1,May,Q2,No,No
ORD100011,23-03-2024,30-03-2024,30-03-2024,Patna,East,WH_PAT_01,AGT_0062,DTDC,Sports,7405.79,Prepaid,7,7,0,On Time,No,None,No,1,March,Q1,No,No
ORD100012,03-05-2024,04-05-2024,03-05-2024,Mumbai,West,WH_MUM_01,AGT_0141,Dunzo,Groceries,14673.07,Prepaid,1,1,0,On Time,No,None,No,1,May,Q2,No,No
ORD100013,15-05-2024,22-05-2024,21-05-2024,Bangalore,South,WH_BLR_01,AGT_0096,Ecom Express,Books,13944.37,Prepaid,7,7,0,On Time,No,None,No,1,May,Q2,No,No
ORD100014,21-09-2024,23-09-2024,26-09-2024,Ahmedabad,West,WH_AMD_01,AGT_0019,BlueDart,Home & Kitchen,8886.38,Prepaid,2,5,3,Moderate Delay,Yes,Traffic Congestion,Yes,1,September,Q3,No,Yes
ORD100015,19-11-2024,20-11-2024,20-11-2024,Nagpur,Central,WH_NGP_01,AGT_0055,Dunzo,Books,1202.23,Prepaid,1,1,0,On Time,No,None,No,1,November,Q4,Yes,No
ORD100016,08-03-2024,15-03-2024,14-03-2024,Jaipur,North,WH_JAI_01,AGT_0091,Ecom Express,Fashion,11801.6,COD,7,7,0,On Time,No,None,No,1,March,Q1,No,No
ORD100017,29-07-2024,30-07-2024,29-07-2024,Pune,West,WH_PUN_01,AGT_0050,XpressBees,Fashion,1050.1,COD,1,1,0,On Time,No,None,No,1,July,Q3,No,Yes
ORD100018,01-10-2024,06-10-2024,10-10-2024,Hyderabad,South,WH_HYD_01,AGT_0013,Delhivery,Toys,13136.12,Prepaid,5,9,4,Moderate Delay,Yes,Vehicle Breakdown,Yes,1,October,Q4,Yes,No
ORD100019,03-10-2024,05-10-2024,09-10-2024,Surat,West,WH_SRT_01,AGT_0001,Ecom Express,Groceries,3324.15,COD,2,6,4,Moderate Delay,Yes,Route Optimization Failure,Yes,1,October,Q4,Yes,No
ORD100020,15-05-2024,20-05-2024,20-05-2024,Pune,West,WH_PUN_01,AGT_0081,BlueDart,Electronics,2448.73,COD,5,5,0,On Time,No,None,No,1,May,Q2,No,No
ORD100021,26-01-2024,02-02-2024,01-02-2024,Mumbai,West,WH_MUM_01,AGT_0018,Delhivery,Groceries,994.66,Prepaid,7,7,0,On Time,No,None,No,1,January,Q1,No,No
ORD100022,30-04-2024,07-05-2024,12-05-2024,Surat,West,WH_SRT_01,AGT_0053,DTDC,Sports,9347.82,COD,7,12,5,Moderate Delay,Yes,Traffic Congestion,Yes,1,April,Q2,No,No
ORD100023,09-06-2024,14-06-2024,20-06-2024,Surat,West,WH_SRT_01,AGT_0145,Dunzo,Electronics,6939.78,Prepaid,5,11,6,Severe Delay,Yes,Weather Conditions,Yes,1,June,Q2,No,Yes
ORD100024,07-02-2024,14-02-2024,17-02-2024,Delhi,North,WH_DEL_01,AGT_0136,DTDC,Toys,13207.16,COD,7,10,3,Moderate Delay,Yes,Wrong Address,Yes,1,February,Q1,No,No
ORD100025,07-12-2024,08-12-2024,07-12-2024,Mumbai,West,WH_MUM_01,AGT_0073,DTDC,Groceries,4077.32,Prepaid,1,1,0,On Time,No,None,No,1,December,Q4,No,No
ORD100026,17-04-2024,19-04-2024,19-04-2024,Lucknow,North,WH_LKO_01,AGT_0109,Delhivery,Electronics,7655.32,COD,2,2,0,On Time,No,None,No,1,April,Q2,No,No
ORD100027,21-05-2024,24-05-2024,24-05-2024,Bhopal,Central,WH_BHO_01,AGT_0029,BlueDart,Beauty,2549.49,COD,3,3,0,On Time,No,None,No,1,May,Q2,No,No
ORD100028,19-12-2024,20-12-2024,19-12-2024,Delhi,North,WH_DEL_01,AGT_0011,Shadowfax,Books,6532.33,Prepaid,1,1,0,On Time,No,None,No,1,December,Q4,No,No
ORD100029,02-07-2024,04-07-2024,04-07-2024,Indore,Central,WH_IND_01,AGT_0042,XpressBees,Groceries,11734.73,COD,2,2,0,On Time,No,None,No,1,July,Q3,No,Yes
ORD100030,31-03-2024,02-04-2024,02-04-2024,Patna,East,WH_PAT_01,AGT_0041,DTDC,Home & Kitchen,11768.44,COD,2,2,0,On Time,No,None,No,1,March,Q1,No,No
ORD100031,25-12-2024,26-12-2024,25-12-2024,Patna,East,WH_PAT_01,AGT_0007,XpressBees,Home & Kitchen,3113.66,COD,1,1,0,On Time,No,None,No,1,December,Q4,No,No
ORD100032,08-04-2024,11-04-2024,11-04-2024,Surat,West,WH_SRT_01,AGT_0030,BlueDart,Sports,5364.52,COD,3,3,0,On Time,No,None,No,1,April,Q2,No,No
ORD100033,13-05-2024,16-05-2024,21-05-2024,Indore,Central,WH_IND_01,AGT_0148,Ecom Express,Fashion,5283.45,COD,3,8,5,Moderate Delay,Yes,Warehouse Processing Delay,Yes,1,May,Q2,No,No
ORD100034,10-05-2024,15-05-2024,22-05-2024,Hyderabad,South,WH_HYD_01,AGT_0032,Shadowfax,Sports,5558.69,Prepaid,5,12,7,Severe Delay,Yes,Vehicle Breakdown,Yes,1,May,Q2,No,No
ORD100035,02-06-2024,07-06-2024,13-06-2024,Nagpur,Central,WH_NGP_01,AGT_0045,Ecom Express,Beauty,8383.03,Prepaid,5,11,6,Severe Delay,Yes,Weather Conditions,Yes,1,June,Q2,No,Yes
ORD100036,18-10-2024,25-10-2024,25-10-2024,Lucknow,North,WH_LKO_01,AGT_0114,Dunzo,Sports,4410.67,COD,7,7,0,On Time,No,None,No,1,October,Q4,Yes,No
ORD100037,11-12-2024,16-12-2024,15-12-2024,Ahmedabad,West,WH_AMD_01,AGT_0061,Delhivery,Sports,9933.93,COD,5,5,0,On Time,No,None,No,1,December,Q4,No,No
ORD100038,07-06-2024,09-06-2024,10-06-2024,Surat,West,WH_SRT_01,AGT_0148,Ecom Express,Toys,14761.45,Prepaid,2,3,1,Minor Delay,Yes,Vehicle Breakdown,No,1,June,Q2,No,Yes
ORD100039,22-12-2024,27-12-2024,02-01-2025,Hyderabad,South,WH_HYD_01,AGT_0046,XpressBees,Beauty,13406,Prepaid,5,11,6,Severe Delay,Yes,Traffic Congestion,Yes,1,December,Q4,No,No
ORD100040,22-12-2024,23-12-2024,22-12-2024,Patna,East,WH_PAT_01,AGT_0130,Dunzo,Sports,6928.46,COD,1,1,0,On Time,No,None,No,1,December,Q4,No,No
ORD100041,07-10-2024,09-10-2024,09-10-2024,Pune,West,WH_PUN_01,AGT_0062,Dunzo,Books,6833.54,Prepaid,2,2,0,On Time,No,None,No,1,October,Q4,Yes,No
ORD100042,13-08-2024,16-08-2024,19-08-2024,Chennai,South,WH_CHN_01,AGT_0060,Ekart,Groceries,13411.45,Prepaid,3,6,3,Moderate Delay,Yes,High Order Volume,Yes,1,August,Q3,No,Yes
ORD100043,21-12-2024,23-12-2024,27-12-2024,Pune,West,WH_PUN_01,AGT_0148,BlueDart,Beauty,8207.78,COD,2,6,4,Moderate Delay,Yes,High Order Volume,Yes,1,December,Q4,No,No
ORD100044,01-09-2024,04-09-2024,04-09-2024,Pune,West,WH_PUN_01,AGT_0070,XpressBees,Toys,8142.58,Prepaid,3,3,0,On Time,No,None,No,1,September,Q3,No,Yes
ORD100045,05-09-2024,08-09-2024,08-09-2024,Pune,West,WH_PUN_01,AGT_0145,Ecom Express,Electronics,10904.09,COD,3,3,0,On Time,No,None,No,1,September,Q3,No,Yes
ORD100046,14-01-2024,19-01-2024,23-01-2024,Surat,West,WH_SRT_01,AGT_0087,Shadowfax,Toys,896.73,COD,5,9,4,Moderate Delay,Yes,Customer Unavailable,Yes,3,January,Q1,No,No
ORD100047,03-08-2024,04-08-2024,03-08-2024,Chennai,South,WH_CHN_01,AGT_0008,BlueDart,Fashion,14998.63,COD,1,1,0,On Time,No,None,No,1,August,Q3,No,Yes
ORD100048,12-04-2024,14-04-2024,18-04-2024,Hyderabad,South,WH_HYD_01,AGT_0095,DTDC,Toys,8524.95,Prepaid,2,6,4,Moderate Delay,Yes,Wrong Address,Yes,1,April,Q2,No,No
